"REF_DATE","GEO","DGUID","Population and dwelling counts (13)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Renfrew","2021A00033547","Population, 2021","","0","units","0","","192.1","106365","","","","0"
"2021","Simcoe","2021A00033543","Population, 2021","","0","units","0","","193.1","533169","","","","0"
"2021","Stormont, Dundas and Glengarry","2021A00033501","Population, 2021","","0","units","0","","194.1","114637","","","","0"
"2021","Sudbury","2021A00033552","Population, 2021","","0","units","0","","195.1","22368","","","","0"
"2021","Thunder Bay","2021A00033558","Population, 2021","","0","units","0","","196.1","146862","","","","0"
"2021","Timiskaming","2021A00033554","Population, 2021","","0","units","0","","197.1","31424","","","","0"
"2021","Toronto","2021A00033520","Population, 2021","","0","units","0","","198.1","2794356","","","","0"
"2021","Waterloo","2021A00033530","Population, 2021","","0","units","0","","199.1","587165","","","","0"
"2021","Wellington","2021A00033523","Population, 2021","","0","units","0","","200.1","241026","","","","0"
"2021","York","2021A00033519","Population, 2021","","0","units","0","","201.1","1173334","","","","0"
"2021","Division No.  1","2021A00034601","Population, 2021","","0","units","0","","203.1","20114","","","","0"
"2021","Division No.  2","2021A00034602","Population, 2021","","0","units","0","","204.1","83878","","","","0"
"2021","Division No.  3","2021A00034603","Population, 2021","","0","units","0","","205.1","57363","","","","0"
"2021","Division No.  4","2021A00034604","Population, 2021","","0","units","0","","206.1","9665","","","","0"
"2021","Division No.  5","2021A00034605","Population, 2021","","0","units","0","","207.1","13326","","","","0"
"2021","Division No.  6","2021A00034606","Population, 2021","","0","units","0","","208.1","9906","","","","0"
"2021","Division No.  7","2021A00034607","Population, 2021","","0","units","0","","209.1","70896","","","","0"
"2021","Division No.  8","2021A00034608","Population, 2021","","0","units","0","","210.1","13877","","","","0"
"2021","Division No.  9","2021A00034609","Population, 2021","","0","units","0","","211.1","24339","","","","0"
